#ZVView-data-copy:  30-May-2023 19:01:46
#=======================================
#
#name:   64-GD-155(N,G)64-GD-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        66000         2000  # 1958,N.J.Pattenden       ## 21325019  #dY:3.0%   
    2.73371e-6      45.4193 
     2.7394e-6      43.2748 
    2.74795e-6      40.3734 
    2.75649e-6      37.8008 
    2.76503e-6      35.5094 
    2.77357e-6      33.4598 
    2.78211e-6      31.6189 
    2.79065e-6       29.959 
    2.79806e-6      28.6486 
    2.80717e-6      27.1793 
    2.81628e-6      25.8489 
    2.82539e-6        24.64 
    2.83494e-6      23.4877 
    2.84492e-6      22.3924 
     2.8549e-6      21.3955 
    2.86987e-6      20.0587 
    2.88506e-6      18.8679 
    2.90024e-6       17.816 
    2.91549e-6      16.8769 
    2.93089e-6      16.0307 
    2.94629e-6      15.2719 
    2.96183e-6      14.5821 
    2.98265e-6      13.7601 
    3.00362e-6      13.0317 
    3.02473e-6      12.3824 
    3.04599e-6      11.8005 
     3.0674e-6      11.2763 
    3.08897e-6      10.8016 
    3.12154e-6      10.1695 
    3.15457e-6      9.61425 
    3.18791e-6      9.12455 
    3.22156e-6      8.68898 
    3.25553e-6       8.2983 
    3.28997e-6       7.9433 
    3.32219e-6      7.64225 
    3.37413e-6      7.20662 
    3.43785e-6      6.73296 
    3.48856e-6      6.39299 
    3.51457e-6      6.24018 
    3.54058e-6      6.12229 
    3.55911e-6      6.07419 
    3.57292e-6      6.06325 
    3.58999e-6      6.07919 
    3.63811e-6      6.20043 
    3.65826e-6       6.2187 
    3.67582e-6      6.20079 
    3.70183e-6      6.12534 
    3.80586e-6       5.6822 
    3.87348e-6      5.44205 
     3.9411e-6      5.23936 
     4.0249e-6      5.02323 
    4.11027e-6      4.83105 
    4.22706e-6      4.60019 
    4.37784e-6      4.34014 
    4.56576e-6      4.05458 
    4.82892e-6      3.69209 
    5.17931e-6      3.21952 
    5.36379e-6      2.95179 
    5.51621e-6      2.71144 
    5.71297e-6      2.38184 
    5.77328e-6      2.28842 
    5.81386e-6      2.23553 
    5.85062e-6      2.20093 
    5.87533e-6      2.18906 
    5.88356e-6      2.18788 
    5.90003e-6      2.19079 
    5.92084e-6      2.20692 
    5.93645e-6      2.23082 
    5.95206e-6      2.26775 
    5.96766e-6      2.32122 
    5.97807e-6      2.36825 
    5.98759e-6      2.42094 
    5.99622e-6      2.47804 
    6.00486e-6      2.54546 
    6.01349e-6      2.62484 
    6.02213e-6      2.71817 
    6.03076e-6      2.82781 
     6.0394e-6      2.95661 
    6.04587e-6      3.06784 
    6.05235e-6      3.19347 
    6.05851e-6      3.32827 
    6.06468e-6      3.47993 
    6.07084e-6      3.65075 
      6.077e-6      3.84342 
    6.08317e-6      4.06104 
    6.08796e-6      4.24985 
    6.09344e-6      4.48929 
    6.09892e-6      4.75712 
     6.1044e-6      5.05711 
    6.10988e-6      5.39353 
    6.11536e-6      5.77127 
    6.11947e-6      6.08498 
    6.12358e-6       6.4276 
    6.12769e-6      6.80196 
     6.1318e-6      7.21113 
     6.1359e-6      7.65842 
    6.14001e-6      8.14742 
    6.14412e-6      8.68195 
    6.14823e-6      9.26609 
    6.15234e-6      9.90415 
    6.15645e-6      10.6006 
    6.16056e-6      11.3602 
    6.16467e-6      12.1877 
    6.16878e-6      13.0879 
    6.17289e-6      14.0657 
      6.177e-6      15.1258 
    6.18111e-6      16.2728 
    6.18522e-6      17.5107 
    6.18932e-6      18.8433 
    6.19343e-6      20.2736 
    6.19754e-6      21.8041 
    6.20302e-6      24.0025 
     6.2085e-6      26.3811 
    6.21398e-6      28.9358 
    6.21918e-6      31.5176 
    6.22658e-6      35.4209 
    6.23398e-6      39.5514 
    6.25617e-6      52.5007 
    6.26548e-6       57.687 
    6.27247e-6      61.2611 
    6.28028e-6      64.7958 
    6.28575e-6      66.9186 
    6.29123e-6      68.7016 
    6.29671e-6      70.1133 
    6.30088e-6      70.9233 
    6.30685e-6      71.6741 
    6.31332e-6       71.934 
    6.31972e-6      71.6316 
     6.3252e-6      70.9489 
    6.33219e-6      69.5525 
    6.33917e-6      67.6292 
    6.34657e-6      65.1086 
    6.35479e-6       61.851 
    6.36575e-6      57.0119 
    6.38766e-6      46.8521 
    6.39862e-6       42.039 
    6.40684e-6      38.6825 
    6.41506e-6      35.5837 
    6.42328e-6      32.7584 
     6.4315e-6      30.2081 
    6.43971e-6      27.9231 
    6.44793e-6      25.8865 
    6.45615e-6      24.0775 
    6.46437e-6       22.473 
    6.47259e-6      21.0502 
    6.48081e-6       19.787 
    6.48903e-6      18.6633 
    6.49724e-6      17.6609 
    6.50546e-6      16.7639 
    6.51368e-6      15.9583 
    6.52395e-6      15.0618 
    6.53354e-6      14.3197 
    6.54313e-6      13.6555 
    6.55272e-6       13.058 
    6.56265e-6      12.4999 
    6.57292e-6      11.9786 
    6.58833e-6      11.2869 
    6.60374e-6      10.6852 
    6.61915e-6      10.1573 
    6.63456e-6       9.6905 
    6.65141e-6      9.23832 
    6.66897e-6      8.82078 
    6.68654e-6      8.44919 
    6.70995e-6      8.01274 
    6.73337e-6      7.63153 
    6.75712e-6      7.29073 
    6.78087e-6      6.98778 
    6.80462e-6      6.71615 
    6.84041e-6      6.35476 
    6.87654e-6      6.03642 
    6.91266e-6      5.75428 
    6.94913e-6      5.49828 
    6.99798e-6      5.19019 
    7.04717e-6      4.90975 
    7.12147e-6      4.52336 
    7.29836e-6      3.66367 
     7.3755e-6      3.26803 
    7.47967e-6      2.70191 
     7.4976e-6      2.61369 
    7.51298e-6      2.54836 
    7.52579e-6       2.5059 
     7.5354e-6      2.48461 
    7.54501e-6      2.47576 
    7.55462e-6      2.48333 
    7.56102e-6      2.49996 
    7.56743e-6      2.52794 
    7.57383e-6      2.56936 
    7.58024e-6       2.6266 
    7.58665e-6      2.70237 
    7.59145e-6      2.77315 
    7.59626e-6      2.85743 
    7.60106e-6      2.95669 
    7.60586e-6      3.07247 
    7.61067e-6       3.2064 
    7.61547e-6      3.36017 
    7.62028e-6      3.53545 
    7.62508e-6      3.73396 
    7.62989e-6      3.95735 
    7.63469e-6      4.20718 
     7.6395e-6      4.48492 
     7.6443e-6      4.79184 
    7.64911e-6        5.129 
    7.65391e-6      5.49717 
    7.65871e-6       5.8968 
     7.6632e-6      6.29821 
    7.66896e-6      6.85412 
    7.67473e-6      7.45332 
    7.68049e-6      8.09319 
     7.6885e-6      9.04208 
    7.69875e-6      10.3376 
     7.7231e-6      13.5431 
     7.7327e-6      14.7429 
    7.74231e-6      15.8376 
    7.75128e-6      16.7287 
    7.75769e-6       17.272 
    7.76409e-6      17.7287 
    7.77082e-6      18.1095 
    7.77626e-6      18.3412 
