#ZVView-data-copy:  30-May-2023 21:59:27
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      0.004566            0        6.975        1.664  # 1968,W.M.Good+           ## 11876010  #dY:23.9%  
        0.0046       0.0001        6.601            1  # 1959,H.W.Newson+         ## 11452013  #dY:15.1%  
      0.004601            0        4.424        2.196  # 1968,W.M.Good+           ## 11876010  #dY:49.6%  
      0.004663            0        7.484        1.876  # 1968,W.M.Good+           ## 11876010  #dY:25.1%  
        0.0047            0        10.34        1.749  # 1968,W.M.Good+           ## 11876010  #dY:16.9%  
      0.004724            0        6.769        1.659  # 1968,W.M.Good+           ## 11876010  #dY:24.5%  
       0.00476            0         2.38        1.549  # 1968,W.M.Good+           ## 11876010  #dY:65.1%  
      0.004811            0        4.318        1.498  # 1968,W.M.Good+           ## 11876010  #dY:34.7%  
      0.004824            0        6.869        1.761  # 1968,W.M.Good+           ## 11876010  #dY:25.6%  
      0.004837            0         9.93        2.137  # 1968,W.M.Good+           ## 11876010  #dY:21.5%  
        0.0049       0.0001        7.901            1  # 1959,H.W.Newson+         ## 11452013  #dY:12.7%  
      0.004901            0        7.684         1.98  # 1968,W.M.Good+           ## 11876010  #dY:25.8%  
      0.004952            0         5.54        1.429  # 1968,W.M.Good+           ## 11876010  #dY:25.8%  
      0.005018            0        8.396        1.601  # 1968,W.M.Good+           ## 11876010  #dY:19.1%  
      0.005056            0        5.437        1.625  # 1968,W.M.Good+           ## 11876010  #dY:29.9%  
       0.00511            0        7.171         1.47  # 1968,W.M.Good+           ## 11876010  #dY:20.5%  
      0.005137            0        9.007        1.915  # 1968,W.M.Good+           ## 11876010  #dY:21.3%  
       0.00517            0        3.809        1.392  # 1968,W.M.Good+           ## 11876010  #dY:36.5%  
        0.0052       0.0001        7.201            1  # 1959,H.W.Newson+         ## 11452013  #dY:13.9%  
      0.005245            0        2.781        1.061  # 1968,W.M.Good+           ## 11876010  #dY:38.2%  
