#ZVView-data-copy:  30-May-2023 21:20:45
#=======================================
#
#name:   56-BA-138(N,A)54-XE-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
    0.00064954      3.32438 
   0.000649746      3.30678 
   0.000650365      3.29597 
   0.000663315      3.28748 
   0.000926406      3.23782 
    0.00133968      3.19248 
    0.00190825      3.15669 
    0.00193372      3.16269 
    0.00193926      3.17695 
     0.0019418      3.20112 
    0.00194299      3.22909 
    0.00194363       3.2565 
     0.0019441      3.29103 
    0.00194444      3.33472 
    0.00194464      3.37904 
    0.00194479      3.43051 
    0.00194489      3.47876 
    0.00194499      3.54309 
    0.00194509      3.62938 
    0.00194516      3.71151 
    0.00194523      3.80976 
     0.0019453      3.93081 
    0.00194537      4.07954 
    0.00194544      4.26168 
    0.00194549      4.40487 
    0.00194554      4.56802 
    0.00194559      4.75349 
    0.00194563      4.96383 
    0.00194568      5.20177 
    0.00194573      5.47028 
    0.00194578      5.77245 
    0.00194582      6.11155 
    0.00194587      6.49097 
    0.00194592      6.92608 
    0.00194597      7.42456 
    0.00194602      7.98013 
    0.00194607      8.59714 
    0.00194612      9.27997 
    0.00194617      10.0329 
    0.00194622      10.8598 
    0.00194627      11.7647 
    0.00194632       12.751 
    0.00194637      13.8218 
    0.00194642      14.9796 
    0.00194646      16.2263 
    0.00194651      17.5631 
    0.00194656      18.9904 
    0.00194661      20.5076 
    0.00194666      22.1132 
    0.00194673      24.3282 
    0.00194681      27.2404 
    0.00194689      30.3352 
    0.00194699      34.4118 
     0.0019473      48.0019 
     0.0019474      52.0078 
    0.00194748      54.8358 
    0.00194755      57.4144 
    0.00194764      60.0193 
    0.00194772      61.9726 
    0.00194779      63.2172 
    0.00194787      64.3604 
    0.00194794      64.9422 
      0.001948      65.0918 
    0.00194808      64.8386 
    0.00194815      64.2075 
    0.00194821      63.2403 
    0.00194827      62.1306 
    0.00194834      60.4269 
    0.00194841      58.5449 
    0.00194849      55.9348 
    0.00194856      53.2788 
    0.00194864      50.4168 
    0.00194876      45.2587 
    0.00194901      34.6045 
     0.0019491        30.82 
    0.00194919      27.3241 
    0.00194926      24.8512 
    0.00194932      22.5223 
    0.00194939      20.3485 
    0.00194944      18.8415 
    0.00194949      17.4247 
    0.00194954      16.0981 
    0.00194959      14.8617 
    0.00194964      13.7136 
    0.00194969      12.6524 
    0.00194974      11.6751 
    0.00194979       10.779 
    0.00194983      10.0978 
    0.00194987      9.46746 
    0.00194991      8.88534 
    0.00194995      8.34928 
    0.00194999      7.85667 
    0.00195003      7.40522 
    0.00195008      6.99238 
    0.00195012      6.61592 
    0.00195016      6.27315 
     0.0019502      5.96201 
    0.00195025      5.60792 
     0.0019503      5.31056 
    0.00195035      5.04838 
     0.0019504      4.81789 
    0.00195045       4.6158 
     0.0019505      4.43907 
    0.00195055      4.28492 
     0.0019506      4.15076 
    0.00195067      3.98189 
    0.00195075      3.84573 
    0.00195082       3.7363 
     0.0019509       3.6485 
    0.00195097      3.57814 
    0.00195107      3.50548 
    0.00195117      3.45111 
    0.00195132       3.3934 
    0.00195152      3.34424 
    0.00195182        3.301 
    0.00195231      3.26138 
    0.00195319      3.22434 
    0.00195434      3.19956 
    0.00195664       3.1776 
    0.00196072      3.16419 
    0.00197992      3.15392 
    0.00199675      3.15212 
    0.00199916      3.15936 
         0.002      3.16369 
    0.00200264       3.1518 
    0.00332821      3.10143 
     0.0045356      3.06537 
    0.00462317      3.07255 
     0.0046518      3.09064 
     0.0046619      3.10807 
    0.00467032      3.13663 
    0.00467664      3.17801 
    0.00468011      3.21632 
    0.00468284      3.26098 
    0.00468527      3.31837 
    0.00468737      3.39064 
    0.00468895      3.46661 
       0.00469      3.53273 
    0.00469105      3.61638 
    0.00469211       3.7244 
     0.0046929      3.82765 
    0.00469369      3.95731 
    0.00469421      4.06322 
    0.00469474      4.18948 
    0.00469526      4.34182 
    0.00469566      4.47789 
    0.00469605      4.63766 
    0.00469645      4.82731 
    0.00469684      5.05537 
    0.00469716      5.27351 
    0.00469747      5.53278 
    0.00469769      5.73449 
     0.0046979      5.96509 
    0.00469811      6.23124 
    0.00469832      6.54191 
    0.00469847       6.8112 
    0.00469861      7.06453 
    0.00469876      7.41029 
